date,admin1,admin2,market,latitude,longitude,category,commodity,unit,priceflag,pricetype,currency,price,usdprice
#date,#adm1+name,#adm2+name,#loc+market+name,#geo+lat,#geo+lon,#item+type,#item+name,#item+unit,#item+price+flag,#item+price+type,#currency,#value,#value+usd
2010-07-15,,,National Average,,,non-food,Exchange rate (unofficial),USD/LCU,actual,Retail,VEF,0.0,0.0
2010-11-15,,,National Average,,,non-food,Exchange rate (unofficial),USD/LCU,actual,Retail,VEF,0.0,0.0
2010-12-15,,,National Average,,,non-food,Exchange rate (unofficial),USD/LCU,actual,Retail,VEF,0.0,0.0
2011-01-15,,,National Average,,,non-food,Exchange rate (unofficial),USD/LCU,actual,Retail,VEF,0.0,0.0
2011-02-15,,,National Average,,,non-food,Exchange rate (unofficial),USD/LCU,actual,Retail,VEF,0.0,0.0
2011-03-15,,,National Average,,,non-food,Exchange rate (unofficial),USD/LCU,actual,Retail,VEF,0.0,0.0
2011-04-15,,,National Average,,,non-food,Exchange rate (unofficial),USD/LCU,actual,Retail,VEF,0.0,0.0
2011-06-15,,,National Average,,,non-food,Exchange rate (unofficial),USD/LCU,actual,Retail,VEF,0.0,0.0
2011-07-15,,,National Average,,,non-food,Exchange rate (unofficial),USD/LCU,actual,Retail,VEF,0.0,0.0
2011-08-15,,,National Average,,,non-food,Exchange rate (unofficial),USD/LCU,actual,Retail,VEF,0.0,0.0
2011-09-15,,,National Average,,,non-food,Exchange rate (unofficial),USD/LCU,actual,Retail,VEF,0.0,0.0
2011-10-15,,,National Average,,,non-food,Exchange rate (unofficial),USD/LCU,actual,Retail,VEF,0.0,0.0
2011-11-15,,,National Average,,,non-food,Exchange rate (unofficial),USD/LCU,actual,Retail,VEF,0.0,0.0
2011-12-15,,,National Average,,,non-food,Exchange rate (unofficial),USD/LCU,actual,Retail,VEF,0.0,0.0
2012-03-15,,,National Average,,,non-food,Exchange rate (unofficial),USD/LCU,actual,Retail,VEF,0.0,0.0
2012-04-15,,,National Average,,,non-food,Exchange rate (unofficial),USD/LCU,actual,Retail,VEF,0.0,0.0
2012-05-15,,,National Average,,,non-food,Exchange rate (unofficial),USD/LCU,actual,Retail,VEF,0.0,0.0
2012-06-15,,,National Average,,,non-food,Exchange rate (unofficial),USD/LCU,actual,Retail,VEF,0.0,0.0
2012-07-15,,,National Average,,,non-food,Exchange rate (unofficial),USD/LCU,actual,Retail,VEF,0.0,0.0
2012-08-15,,,National Average,,,non-food,Exchange rate (unofficial),USD/LCU,actual,Retail,VEF,0.0,0.0
2012-09-15,,,National Average,,,non-food,Exchange rate (unofficial),USD/LCU,actual,Retail,VEF,0.0,0.0
2012-10-15,,,National Average,,,non-food,Exchange rate (unofficial),USD/LCU,actual,Retail,VEF,0.0,0.0
2012-11-15,,,National Average,,,non-food,Exchange rate (unofficial),USD/LCU,actual,Retail,VEF,0.0,0.0
2012-12-15,,,National Average,,,non-food,Exchange rate (unofficial),USD/LCU,actual,Retail,VEF,0.0,0.0
2013-01-15,,,National Average,,,non-food,Exchange rate (unofficial),USD/LCU,actual,Retail,VEF,0.0,0.0
2013-02-15,,,National Average,,,non-food,Exchange rate (unofficial),USD/LCU,actual,Retail,VEF,0.0,0.0
2013-04-15,,,National Average,,,non-food,Exchange rate (unofficial),USD/LCU,actual,Retail,VEF,0.0,0.0
2013-05-15,,,National Average,,,non-food,Exchange rate (unofficial),USD/LCU,actual,Retail,VEF,0.0,0.0
2013-06-15,,,National Average,,,non-food,Exchange rate (unofficial),USD/LCU,actual,Retail,VEF,0.0,0.0
2013-09-15,,,National Average,,,non-food,Exchange rate (unofficial),USD/LCU,actual,Retail,VEF,0.0,0.0
2013-10-15,,,National Average,,,non-food,Exchange rate (unofficial),USD/LCU,actual,Retail,VEF,0.0,0.0001
2013-11-15,,,National Average,,,non-food,Exchange rate (unofficial),USD/LCU,actual,Retail,VEF,0.0,0.0001
2013-12-15,,,National Average,,,non-food,Exchange rate (unofficial),USD/LCU,actual,Retail,VEF,0.0,0.0
2014-01-15,,,National Average,,,non-food,Exchange rate (unofficial),USD/LCU,actual,Retail,VEF,0.0,0.0001
2014-02-15,,,National Average,,,non-food,Exchange rate (unofficial),USD/LCU,actual,Retail,VEF,0.0,0.0
